Temperature,GasReading(%),FlameReading(%),FireIndicator
23.4,7.23,0.0,0
23.4,9.29,0.0,0
23.4,6.94,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.14,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.14,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.14,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.14,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.14,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.14,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.14,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.14,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.14,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.14,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.14,0.0,0
23.4,7.14,0.0,0
23.4,7.14,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.14,0.0,0
23.4,7.23,0.0,0
23.4,7.14,0.0,0
23.4,7.23,0.0,0
23.4,7.14,0.0,0
23.4,7.14,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
23.4,7.14,0.0,0
23.4,7.23,0.0,0
23.4,7.23,0.0,0
